parc	metric	sample	between	dv	n	df_model	df_resid	F	p	pmeff	beta	np2	posthoc	covariates
Schaefer200	original	all	dx	KOR	151	1.0	143.0	4.092730407233427	0.04493159690847385	0.3812083080929899	-0.3786925739485087	0.027824151444483372	CTRL > PSY	sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	original	all	dx	CB1	151	1.0	143.0	2.641835026129053	0.10628518879339977	0.6906292269527041	-0.3189347645232491	0.018139259407539677		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	original	off_med	dx	CMRglu	110	1.0	104.0	1.7019466387847617	0.19491315338330736	0.8965112648766903	0.2615883082149637	0.016101374600042358		sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	SV2A	110	1.0	104.0	0.2433615770536161	0.6228287846122105	0.9999628810898886	-0.10100568702489411	0.0023345522762495564		sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	HDAC	110	1.0	104.0	1.9408665323634575	0.16654510020357766	0.851324173851139	0.2712065683756879	0.018320281831662667		sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	VMAT2	110	1.0	104.0	4.309696411295708	0.04036182844765588	0.3501659896540067	-0.41902356731156615	0.03979049479494475	CTRL > PSY	sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	mGluR5	110	1.0	104.0	2.067633093331567	0.15345713802567287	0.8250002061010064	-0.28805711934435957	0.019493534766748356		sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	NMDA	110	1.0	104.0	1.1016318339613944	0.29634117865492005	0.9747042102406379	-0.21035288120135448	0.010481586391558053		sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	GABAa	110	1.0	104.0	1.7256496103737136	0.1918579898735619	0.892327906769704	-0.25326792854045416	0.01632195798023637		sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	GABAa5	110	1.0	104.0	8.509011016921901	0.004330303741515971	0.04438824132940711	-0.5726768464346015	0.07562959570982368	CTRL > PSY	sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	NET	110	1.0	104.0	0.9153928327313428	0.34090637836582005	0.9872426611721812	-0.19239626498848264	0.008725057477416791		sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	A4B2	110	1.0	104.0	3.7374279008636906	0.05592530410218525	0.4523443175811699	-0.38574058546914153	0.03469015340056888		sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	M1	110	1.0	104.0	0.6097454585400601	0.43665747883677763	0.997531157591942	-0.1556010632907608	0.005828763427989797		sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	VAChT	110	1.0	104.0	3.255638537605018	0.074072577088262	0.5529911746365871	-0.35060346556346383	0.030354008255366036		sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	FDOPA	110	1.0	104.0	8.546595764651293	0.004248537293225101	0.043566869900643734	-0.5754589155479704	0.07593828766285629	CTRL > PSY	sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	D1	110	1.0	104.0	3.752229493169744	0.05545008080088219	0.4494532182108708	-0.39022851433716943	0.03482275504478163		sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	D23	110	1.0	104.0	12.966953800502104	0.00048772424272273344	0.0050909864929788995	-0.7008219713331304	0.11085997693518149	CTRL > PSY	sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	DAT	110	1.0	104.0	5.591425385231882	0.01990405363581095	0.18969427713689113	-0.4628143448777908	0.05102064660238794	CTRL > PSY	sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	5HT1a	110	1.0	104.0	11.36478510009278	0.0010516337253353104	0.010947986204970395	-0.6597861435265303	0.09851173467044094	CTRL > PSY	sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	5HT1b	110	1.0	104.0	6.889779456338329	0.009975074845647622	0.09957354673342478	-0.5216293378459238	0.062131780675522996	CTRL > PSY	sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	5HT2a	110	1.0	104.0	8.72789622946932	0.00387598159211017	0.03981633434994636	-0.571023992717095	0.07742445766665229		sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	5HT4	110	1.0	104.0	16.753216177951423	8.428479999150443e-05	0.0008814660770279925	-0.7845357501949902	0.1387392957986524	CTRL > PSY	sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	5HT6	110	1.0	104.0	13.552909434143007	0.00036973044209080144	0.003861492199337291	-0.6714681188201261	0.11529199489303829	CTRL > PSY	sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	5HTT	110	1.0	104.0	4.424182993880522	0.03784535525594107	0.33211457294095537	-0.4140713612684218	0.040804393187175075	CTRL > PSY	sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	MOR	110	1.0	104.0	6.496619752088115	0.012268080549912823	0.12115510687611686	-0.503645196131628	0.058794737492097314	CTRL > PSY	sex, age, mean_fd, gc
Schaefer200	original	off_med	dx	KOR	110	1.0	104.0	2.8923159641089433	0.09199133824235407	0.6356468359319933	-0.33193539105440323	0.027058221519684275		sex, age, mean_fd, gc
